price,isOneOwner,mileage,year,displacement,trim
61.991,0,13.783,2012,4.6,7.0
26.777,1,86.94,2008,5.5,7.0
41.991,0,38.274,2007,5.5,8.0
22.997,0,90.967,2007,5.5,7.0
34.999,0,58.798,2007,5.5,7.0
64.99,0,41.054,2008,6.0,10.0
6.995,0,74.211,2000,5.0,5.0
17.777,0,57.059,2003,5.4,6.0
29.372,0,68.98,2009,5.5,7.0
23.995,0,73.893,2007,5.5,7.0
10.485,0,83.059,2002,5.0,5.0
54.991,1,33.29,2012,4.6,7.0
5.49,0,256.8,2002,4.3,4.0
9.988,0,128.516,2001,4.3,4.0
26.615,0,73.825,2007,5.5,7.0
29.999,0,67.661,2008,5.5,7.0
24.987,0,77.488,2007,5.5,7.0
54.995,0,29.417,2013,4.6,7.0
35.001,0,78.463,2008,5.5,7.0
59.998,0,16.679,2011,5.5,7.0
34.995,1,63.705,2007,5.5,7.0
29.988,0,63.748,2008,5.5,7.0
40.77,0,42.554,2008,6.3,9.0
12.085,0,95.487,2006,3.7,1.0
53.989,0,27.286,2012,4.6,7.0
26.9,1,83.437,2008,5.5,7.0
13.115,0,107.512,2005,5.0,5.0
38.995,0,50.994,2011,5.5,7.0
29.99,0,83.809,2007,5.5,7.0
14.995,0,92.953,2003,5.5,8.0
60.5,0,23.9,2013,4.6,7.0
4.995,0,133.0,2001,5.0,5.0
27.0,0,61.437,2007,5.5,7.0
42.98,0,58.142,2007,6.0,10.0
69.995,1,20.04,2013,4.6,7.0
11.995,0,139.375,2006,4.3,4.0
2.1,0,230.985,1995,4.2,3.0
27.991,0,79.177,2008,5.5,7.0
73.995,0,4.171,2010,5.5,8.0
45.9,1,27.942,2010,5.5,7.0
58.995,0,14.747,2013,4.6,7.0
35.995,0,57.601,2010,5.5,7.0
20.992,0,105.715,2007,5.5,7.0
63.492,1,16.168,2013,4.6,7.0
27.995,0,77.311,2008,5.5,7.0
0.995,0,175.744,1995,3.2,0.0
15.988,0,69.716,2003,5.4,6.0
55.911,1,37.406,2012,3.0,1.0
5.9,0,149.288,2000,5.0,5.0
15.854,0,64.696,2005,5.0,5.0
7.9,0,128.022,2000,5.0,5.0
6.491,0,125.363,2001,4.3,4.0
68.8,0,15.14,2012,4.6,7.0
3.595,0,125.777,2001,4.3,4.0
40.995,1,32.537,2010,5.5,7.0
39.777,0,44.374,2010,3.5,2.0
24.995,0,81.985,2008,5.5,7.0
2.7,0,143.565,1996,3.2,0.0
29.9,0,74.066,2008,5.5,7.0
32.0,0,59.17,2007,5.5,7.0
